Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 02/11  06:00:00,76859.23573947558,161916.48904318223,34932.84675243391,22289263.56043217,88189086.8953743,42297582.26106754,85310132.68676783,0.0,1571317.6641972135
 02/11  07:00:00,42623.58178268652,206342.42134204024,33117.79066747165,22266339.41553524,92328157.68691209,42272843.060085654,90685741.19550113,0.0,1543645.345697871
 02/11  08:00:00,20774.949530808968,249061.76685691497,31754.15082284883,22260277.00362511,95568163.98899992,42265417.0083309,94684133.48497054,0.0,1533959.2987958572
 02/11  09:00:00,2953.156401713975,284158.5278152738,29279.864316936317,7476496.137811899,91618072.60204466,27479161.856011774,91605804.32585675,0.0,509159.0145945252
 02/11  10:00:00,0.0,306060.14560968865,29504.382907028023,79827.13553007116,80735420.62055604,20082717.37232004,81649933.52005981,0.0,0.0
 02/11  11:00:00,0.0,313256.92510116193,29998.14213081662,68493.66704639258,68115003.40145466,20071877.663060147,69746922.2101485,0.0,0.0
 02/11  12:00:00,0.0,300954.38151633134,29213.29084187215,56856.84859346734,55451852.29154118,20059455.99331828,57542798.52934437,0.0,0.0
 02/11  13:00:00,0.0,279849.54199878086,27752.571014241355,48790.61038935844,46877537.6272024,20049929.03528654,49040073.69409484,0.0,0.0
 02/11  14:00:00,0.0,256598.10299514863,26024.21111298194,42340.08218352743,40143371.61635567,20041750.14717945,42263200.373501904,0.0,0.0
 02/11  15:00:00,0.0,249979.41488702706,25430.958624435632,44704.87444628965,42872529.53347151,20043521.686953664,44350724.233113214,0.0,0.0
 02/11  16:00:00,0.0,266104.1648494798,26484.704389459443,54853.96434824361,53810401.75886668,20054724.52262064,54244808.366177574,0.0,0.0
 02/11  17:00:00,0.0,302420.511672318,28930.054297103605,69666.49523833006,69578854.94555134,20071982.403418373,68908807.73119855,0.0,0.0
 02/11  18:00:00,0.0,356180.0495086272,32355.866750535664,85093.35243437672,85805678.03566334,20090835.07306785,84428888.67282043,0.0,0.0
 02/11  19:00:00,0.0,455331.3424581549,45771.31647648896,99709.72044489779,98610411.29982695,20118866.890804328,99256917.71598178,0.0,0.0
 02/11  20:00:00,0.0,817683.4566204997,102762.23695024003,125541.72863285823,110203432.08541171,20201689.819466036,122611941.06513724,0.0,0.0
 02/11  21:00:00,0.0,2336881.2948749987,262101.08626339948,202097.40544111186,119362448.39942178,20437584.345587447,174156287.19152176,0.0,0.0
 02/11  22:00:00,0.0,3234714.615776009,346155.7098057759,233157.89401027004,124527572.98332661,20552699.457698986,166223723.8954278,0.0,0.0
 02/11  23:00:00,0.0,3909690.52649815,411842.34480110765,256053.7251117319,125945835.24435909,20641281.92379578,156483437.66055956,0.0,0.0
