Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 12/20  21:00:00,0.0,123931.90497770993,12839.794680725594,25656.71006800305,24468226.056872517,36493302.414288096,14369937.246409528,0.0,0.0
 12/20  22:00:00,0.0,138339.66596363165,13700.466715608767,38732.49934635621,38569906.06210158,29605458.71064169,23164301.904629603,0.0,0.0
 12/20  23:00:00,0.0,155931.95535619714,15234.535160578132,45762.87875327871,45935523.32187074,27219113.18581936,29491722.468429357,0.0,0.0
 12/20  24:00:00,0.0,194616.48439325913,21010.19345683366,53077.0131257094,52710359.177216396,22442383.03313967,36705519.24743197,0.0,0.0
 12/21  01:00:00,0.0,238392.49495768978,24855.202604263075,60518.09998274383,60044780.03936796,20058759.15646995,44606970.38187314,0.0,0.0
 12/21  02:00:00,0.0,279430.38514584093,27787.846681476425,66062.39741751889,65497925.7872023,20067236.097981934,51522291.00104022,0.0,0.0
 12/21  03:00:00,0.0,307555.01201952825,29657.79436638024,64048.38506899597,62885198.67658396,20067092.033318315,52240374.78006781,0.0,0.0
 12/21  04:00:00,0.0,327987.4031108026,30945.825471668457,61075.2027200416,59339888.522085205,20065406.88207465,51450308.91462667,0.0,0.0
 12/21  05:00:00,0.0,353460.0684391088,32478.373973121594,63668.61737597162,61848450.225204796,20069532.845232032,54991201.47345321,0.0,0.0
 12/21  06:00:00,0.0,381092.47654421494,34077.486195613616,66864.20373875347,65000345.20696808,20074327.543817304,59007627.91363438,0.0,0.0
 12/21  07:00:00,0.0,409022.9763498666,35639.883949292875,68999.56376657625,66990849.0538772,29374715.439232662,61994092.587391905,0.0,0.0
 12/21  08:00:00,0.0,420753.74531129946,36254.85418954967,66658.36872267902,64272507.22561622,491141540.4255774,60710695.3375259,0.0,0.0
 12/21  09:00:00,0.0,65013959.23728892,58191769.90135801,1098651.9914257124,274303600.4023178,552723959.0681232,513273025.3473776,0.0,0.0
 12/21  10:00:00,31332.117579234793,24673229.44259447,56804042.26934104,21137244.16971191,172140628.2550899,593712940.7006502,182492245.78910962,0.0,1413766.0566347498
 12/21  11:00:00,74077.1736202996,5791783.342885148,55875752.92977036,23468931.69597103,160321106.2216837,597525381.9124268,99432232.09929048,0.0,1597107.0104497974
 12/21  12:00:00,114366.02756340933,980603.6287156398,55818803.73097779,23445361.77601256,152145333.21472567,604346642.9586353,110129699.55677828,0.0,1602525.2665813314
 12/21  13:00:00,118713.15166956498,147252.6920241285,55815237.58688143,23447965.377474174,153282309.26392284,604345680.4160006,125297563.8484672,0.0,1605995.4986163827
 12/21  14:00:00,102004.15873369046,122847.73904605332,55813870.38932763,23454341.673281506,158133422.33978087,604350689.5142541,139405885.13001513,0.0,1607902.3767244536
 12/21  15:00:00,150911.7381646116,108147.98566784954,55820372.120337114,23489903.09462816,164285545.12281916,601997842.693936,151760717.88688484,0.0,1637395.2571228414
 12/21  16:00:00,204649.1383283446,304523.4850971488,55831580.86602928,23539465.04199144,174021922.41363132,587957970.2515955,165908481.5464135,0.0,1676660.548893879
 12/21  17:00:00,211359.39388621063,2000877.1650896445,55835803.460933104,23564630.223063838,180430626.89182538,594889138.1925313,177107810.13103965,0.0,1693126.4770972158
 12/21  18:00:00,183264.4877744428,6999169.397766671,55838637.061867684,23601131.869579103,214485393.62107864,570478396.134112,219943879.22076893,0.0,1685966.3997770003
 12/21  19:00:00,157751.92803795316,14092039.544802234,55851975.01574681,23625009.977569345,220213091.2303222,572910522.1686556,236707246.7336974,0.0,1691388.7505189923
